id,label,kind,dieId,x,y,net,domain,role,pair,polarity,locked,required,units,_text_encoding
CORE:bump:5,C5,bump,CORE,410,1110,,CORE,signal,,,false,false,um,apostrophe-v1
CORE:interposer:5,C5,interposer,,710,1530,,CORE,signal,,,false,false,um,apostrophe-v1
CORE:ball:5,C5,ball,,870,1710,,CORE,signal,,,false,false,um,apostrophe-v1
CORE:pcb:5,C5,pcb,,1030,1890,,CORE,signal,,,false,true,um,apostrophe-v1
CORE:pad:6,CORE_TX_N,pad,CORE,850,1050,CORE_TX_N,CORE,signal,CORE_TX,'-,false,true,um,apostrophe-v1
CORE:bump:6,C6,bump,CORE,910,1110,,CORE,signal,,,false,false,um,apostrophe-v1
CORE:interposer:6,C6,interposer,,1210,1530,,CORE,signal,,,false,false,um,apostrophe-v1
CORE:ball:6,C6,ball,,1370,1710,,CORE,signal,,,false,false,um,apostrophe-v1
CORE:pcb:6,C6,pcb,,1530,1890,,CORE,signal,,,false,true,um,apostrophe-v1
CORE:pad:7,GND,pad,CORE,1350,1050,GND,GND,ground,,,false,true,um,apostrophe-v1
CORE:bump:7,C7,bump,CORE,1410,1110,GND,GND,ground,,,false,false,um,apostrophe-v1
CORE:interposer:7,C7,interposer,,1710,1530,GND,GND,ground,,,false,false,um,apostrophe-v1
CORE:ball:7,C7,ball,,1870,1710,GND,GND,ground,,,false,false,um,apostrophe-v1
CORE:pcb:7,C7,pcb,,2030,1890,GND,GND,ground,,,false,true,um,apostrophe-v1
CORE:pad:8,VDD_CORE,pad,CORE,1850,1050,VDD_CORE,CORE,power,,,false,true,um,apostrophe-v1
CORE:bump:8,C8,bump,CORE,1910,1110,,CORE,power,,,false,false,um,apostrophe-v1
CORE:interposer:8,C8,interposer,,2210,1530,,CORE,power,,,false,false,um,apostrophe-v1
CORE:ball:8,C8,ball,,2370,1710,,CORE,power,,,false,false,um,apostrophe-v1
CORE:pcb:8,C8,pcb,,2530,1890,,CORE,power,,,false,true,um,apostrophe-v1
CORE:pad:9,CORE_DATA0,pad,CORE,350,1750,CORE_DATA0,CORE,signal,,,false,true,um,apostrophe-v1
CORE:bump:9,C9,bump,CORE,410,1810,,CORE,signal,,,false,false,um,apostrophe-v1
CORE:interposer:9,C9,interposer,,710,2230,,CORE,signal,,,false,false,um,apostrophe-v1
CORE:ball:9,C9,ball,,870,2410,,CORE,signal,,,false,false,um,apostrophe-v1
CORE:pcb:9,C9,pcb,,1030,2590,,CORE,signal,,,false,true,um,apostrophe-v1
CORE:pad:10,CORE_DATA1,pad,CORE,850,1750,CORE_DATA1,CORE,signal,,,false,true,um,apostrophe-v1
CORE:bump:10,C10,bump,CORE,910,1810,,CORE,signal,,,false,false,um,apostrophe-v1
CORE:interposer:10,C10,interposer,,1210,2230,,CORE,signal,,,false,false,um,apostrophe-v1
CORE:ball:10,C10,ball,,1370,2410,,CORE,signal,,,false,false,um,apostrophe-v1
CORE:pcb:10,C10,pcb,,1530,2590,,CORE,signal,,,false,true,um,apostrophe-v1
CORE:pad:11,GND,pad,CORE,1350,1750,GND,GND,ground,,,false,true,um,apostrophe-v1
CORE:bump:11,C11,bump,CORE,1410,1810,GND,GND,ground,,,false,false,um,apostrophe-v1
CORE:interposer:11,C11,interposer,,1710,2230,GND,GND,ground,,,false,false,um,apostrophe-v1
CORE:ball:11,C11,ball,,1870,2410,GND,GND,ground,,,false,false,um,apostrophe-v1
CORE:pcb:11,C11,pcb,,2030,2590,GND,GND,ground,,,false,true,um,apostrophe-v1
CORE:pad:12,VDD_CORE,pad,CORE,1850,1750,VDD_CORE,CORE,power,,,false,true,um,apostrophe-v1
CORE:bump:12,C12,bump,CORE,1910,1810,,CORE,power,,,false,false,um,apostrophe-v1
CORE:interposer:12,C12,interposer,,2210,2230,,CORE,power,,,false,false,um,apostrophe-v1
CORE:ball:12,C12,ball,,2370,2410,,CORE,power,,,false,false,um,apostrophe-v1
CORE:pcb:12,C12,pcb,,2530,2590,,CORE,power,,,false,true,um,apostrophe-v1
IO:pad:1,GND,pad,IO,350,350,GND,GND,ground,,,false,true,um,apostrophe-v1
IO:bump:1,I1,bump,IO,410,410,GND,GND,ground,,,false,false,um,apostrophe-v1
IO:interposer:1,I1,interposer,,6010,830,GND,GND,ground,,,false,false,um,apostrophe-v1
IO:ball:1,I1,ball,,6170,1010,GND,GND,ground,,,false,false,um,apostrophe-v1
IO:pcb:1,I1,pcb,,6330,1190,GND,GND,ground,,,false,true,um,apostrophe-v1
IO:pad:2,IO_CLK,pad,IO,850,350,IO_CLK,IO,clock,,,false,true,um,apostrophe-v1
IO:bump:2,I2,bump,IO,910,410,,IO,clock,,,false,false,um,apostrophe-v1
IO:interposer:2,I2,interposer,,6010,1330,,IO,clock,,,false,false,um,apostrophe-v1
IO:ball:2,I2,ball,,6170,1510,,IO,clock,,,false,false,um,apostrophe-v1
IO:pcb:2,I2,pcb,,6330,1690,,IO,clock,,,false,true,um,apostrophe-v1
IO:pad:3,GND,pad,IO,1350,350,GND,GND,ground,,,false,true,um,apostrophe-v1
IO:bump:3,I3,bump,IO,1410,410,GND,GND,ground,,,false,false,um,apostrophe-v1
IO:interposer:3,I3,interposer,,6010,1830,GND,GND,ground,,,false,false,um,apostrophe-v1
IO:ball:3,I3,ball,,6170,2010,GND,GND,ground,,,false,false,um,apostrophe-v1
IO:pcb:3,I3,pcb,,6330,2190,GND,GND,ground,,,false,true,um,apostrophe-v1
IO:pad:4,VDD_IO,pad,IO,1850,350,VDD_IO,IO,power,,,false,true,um,apostrophe-v1
IO:bump:4,I4,bump,IO,1910,410,,IO,power,,,false,false,um,apostrophe-v1
IO:interposer:4,I4,interposer,,6010,2330,,IO,power,,,false,false,um,apostrophe-v1
IO:ball:4,I4,ball,,6170,2510,,IO,power,,,false,false,um,apostrophe-v1
IO:pcb:4,I4,pcb,,6330,2690,,IO,power,,,false,true,um,apostrophe-v1
IO:pad:5,IO_TX_P,pad,IO,350,1050,IO_TX_P,IO,signal,IO_TX,'+,false,true,um,apostrophe-v1
IO:bump:5,I5,bump,IO,410,1110,,IO,signal,,,false,false,um,apostrophe-v1
IO:interposer:5,I5,interposer,,5310,830,,IO,signal,,,false,false,um,apostrophe-v1
IO:ball:5,I5,ball,,5470,1010,,IO,signal,,,false,false,um,apostrophe-v1
IO:pcb:5,I5,pcb,,5630,1190,,IO,signal,,,false,true,um,apostrophe-v1
IO:pad:6,IO_TX_N,pad,IO,850,1050,IO_TX_N,IO,signal,IO_TX,'-,false,true,um,apostrophe-v1
IO:bump:6,I6,bump,IO,910,1110,,IO,signal,,,false,false,um,apostrophe-v1
IO:interposer:6,I6,interposer,,5310,1330,,IO,signal,,,false,false,um,apostrophe-v1
IO:ball:6,I6,ball,,5470,1510,,IO,signal,,,false,false,um,apostrophe-v1
IO:pcb:6,I6,pcb,,5630,1690,,IO,signal,,,false,true,um,apostrophe-v1
IO:pad:7,GND,pad,IO,1350,1050,GND,GND,ground,,,false,true,um,apostrophe-v1
IO:bump:7,I7,bump,IO,1410,1110,GND,GND,ground,,,false,false,um,apostrophe-v1
IO:interposer:7,I7,interposer,,5310,1830,GND,GND,ground,,,false,false,um,apostrophe-v1
IO:ball:7,I7,ball,,5470,2010,GND,GND,ground,,,false,false,um,apostrophe-v1
IO:pcb:7,I7,pcb,,5630,2190,GND,GND,ground,,,false,true,um,apostrophe-v1
IO:pad:8,VDD_IO,pad,IO,1850,1050,VDD_IO,IO,power,,,false,true,um,apostrophe-v1
IO:bump:8,I8,bump,IO,1910,1110,,IO,power,,,false,false,um,apostrophe-v1
IO:interposer:8,I8,interposer,,5310,2330,,IO,power,,,false,false,um,apostrophe-v1
IO:ball:8,I8,ball,,5470,2510,,IO,power,,,false,false,um,apostrophe-v1
IO:pcb:8,I8,pcb,,5630,2690,,IO,power,,,false,true,um,apostrophe-v1
IO:pad:9,IO_DATA0,pad,IO,350,1750,IO_DATA0,IO,signal,,,false,true,um,apostrophe-v1
IO:bump:9,I9,bump,IO,410,1810,,IO,signal,,,false,false,um,apostrophe-v1
IO:interposer:9,I9,interposer,,4610,830,,IO,signal,,,false,false,um,apostrophe-v1
IO:ball:9,I9,ball,,4770,1010,,IO,signal,,,false,false,um,apostrophe-v1
IO:pcb:9,I9,pcb,,4930,1190,,IO,signal,,,false,true,um,apostrophe-v1
IO:pad:10,IO_DATA1,pad,IO,850,1750,IO_DATA1,IO,signal,,,false,true,um,apostrophe-v1
IO:bump:10,I10,bump,IO,910,1810,,IO,signal,,,false,false,um,apostrophe-v1
IO:interposer:10,I10,interposer,,4610,1330,,IO,signal,,,false,false,um,apostrophe-v1
IO:ball:10,I10,ball,,4770,1510,,IO,signal,,,false,false,um,apostrophe-v1
IO:pcb:10,I10,pcb,,4930,1690,,IO,signal,,,false,true,um,apostrophe-v1
IO:pad:11,GND,pad,IO,1350,1750,GND,GND,ground,,,false,true,um,apostrophe-v1
IO:bump:11,I11,bump,IO,1410,1810,GND,GND,ground,,,false,false,um,apostrophe-v1
IO:interposer:11,I11,interposer,,4610,1830,GND,GND,ground,,,false,false,um,apostrophe-v1
IO:ball:11,I11,ball,,4770,2010,GND,GND,ground,,,false,false,um,apostrophe-v1
IO:pcb:11,I11,pcb,,4930,2190,GND,GND,ground,,,false,true,um,apostrophe-v1
IO:pad:12,VDD_IO,pad,IO,1850,1750,VDD_IO,IO,power,,,false,true,um,apostrophe-v1
IO:bump:12,I12,bump,IO,1910,1810,,IO,power,,,false,false,um,apostrophe-v1
IO:interposer:12,I12,interposer,,4610,2330,,IO,power,,,false,false,um,apostrophe-v1
IO:ball:12,I12,ball,,4770,2510,,IO,power,,,false,false,um,apostrophe-v1
IO:pcb:12,I12,pcb,,4930,2690,,IO,power,,,false,true,um,apostrophe-v1
PKG:RESERVED,RSVD,ball,,7000,500,,,reserved,,,false,false,um,apostrophe-v1
PKG:NC,NC,ball,,7000,1000,,,nc,,,false,false,um,apostrophe-v1
