id,from,to,net,locked,signal,length_um,_text_encoding
IO:s2:3,IO:bump:3,IO:interposer:3,,false,GND,340,apostrophe-v1
IO:s4:3,IO:ball:3,IO:pcb:3,,false,GND,340,apostrophe-v1
IO:s1:4,IO:pad:4,IO:bump:4,,false,VDD_IO,120,apostrophe-v1
IO:s2:4,IO:bump:4,IO:interposer:4,,false,VDD_IO,340,apostrophe-v1
IO:s4:4,IO:ball:4,IO:pcb:4,,false,VDD_IO,340,apostrophe-v1
IO:s1:5,IO:pad:5,IO:bump:5,,false,IO_TX_P,120,apostrophe-v1
IO:s2:5,IO:bump:5,IO:interposer:5,,false,IO_TX_P,340,apostrophe-v1
IO:s4:5,IO:ball:5,IO:pcb:5,,false,IO_TX_P,340,apostrophe-v1
IO:s1:6,IO:pad:6,IO:bump:6,,false,IO_TX_N,120,apostrophe-v1
IO:s2:6,IO:bump:6,IO:interposer:6,,false,IO_TX_N,340,apostrophe-v1
IO:s4:6,IO:ball:6,IO:pcb:6,,false,IO_TX_N,340,apostrophe-v1
IO:s1:7,IO:pad:7,IO:bump:7,,false,GND,120,apostrophe-v1
IO:s2:7,IO:bump:7,IO:interposer:7,,false,GND,340,apostrophe-v1
IO:s4:7,IO:ball:7,IO:pcb:7,,false,GND,340,apostrophe-v1
IO:s1:8,IO:pad:8,IO:bump:8,,false,VDD_IO,120,apostrophe-v1
IO:s2:8,IO:bump:8,IO:interposer:8,,false,VDD_IO,340,apostrophe-v1
IO:s4:8,IO:ball:8,IO:pcb:8,,false,VDD_IO,340,apostrophe-v1
IO:s1:9,IO:pad:9,IO:bump:9,,false,IO_DATA0,120,apostrophe-v1
IO:s2:9,IO:bump:9,IO:interposer:9,,false,IO_DATA0,340,apostrophe-v1
IO:s4:9,IO:ball:9,IO:pcb:9,,false,IO_DATA0,340,apostrophe-v1
IO:s1:10,IO:pad:10,IO:bump:10,,false,IO_DATA1,120,apostrophe-v1
IO:s2:10,IO:bump:10,IO:interposer:10,,false,IO_DATA1,340,apostrophe-v1
IO:s4:10,IO:ball:10,IO:pcb:10,,false,IO_DATA1,340,apostrophe-v1
IO:s1:11,IO:pad:11,IO:bump:11,,false,GND,120,apostrophe-v1
IO:s2:11,IO:bump:11,IO:interposer:11,,false,GND,340,apostrophe-v1
IO:s4:11,IO:ball:11,IO:pcb:11,,false,GND,340,apostrophe-v1
IO:s1:12,IO:pad:12,IO:bump:12,,false,VDD_IO,120,apostrophe-v1
IO:s2:12,IO:bump:12,IO:interposer:12,,false,VDD_IO,340,apostrophe-v1
IO:s4:12,IO:ball:12,IO:pcb:12,,false,VDD_IO,340,apostrophe-v1
CORE:s3:5,CORE:interposer:5,CORE:ball:5,,false,CORE_TX_P,340,apostrophe-v1
CORE:s3:6,CORE:interposer:6,CORE:ball:6,,false,CORE_TX_N,340,apostrophe-v1
IO:s3:5,IO:interposer:5,IO:ball:5,,false,IO_TX_P,340,apostrophe-v1
IO:s3:6,IO:interposer:6,IO:ball:6,,false,IO_TX_N,340,apostrophe-v1
CORE:s3:1,CORE:interposer:1,CORE:ball:1,,false,GND,340,apostrophe-v1
CORE:s3:10,CORE:interposer:10,CORE:ball:10,,false,CORE_DATA1,340,apostrophe-v1
CORE:s3:11,CORE:interposer:11,CORE:ball:11,,false,GND,340,apostrophe-v1
CORE:s3:12,CORE:interposer:12,CORE:ball:12,,false,VDD_CORE,340,apostrophe-v1
CORE:s3:2,CORE:interposer:2,CORE:ball:2,,false,CORE_CLK,340,apostrophe-v1
CORE:s3:3,CORE:interposer:3,CORE:ball:3,,false,GND,340,apostrophe-v1
CORE:s3:4,CORE:interposer:4,CORE:ball:4,,false,VDD_CORE,340,apostrophe-v1
CORE:s3:7,CORE:interposer:7,CORE:ball:7,,false,GND,340,apostrophe-v1
CORE:s3:8,CORE:interposer:8,CORE:ball:8,,false,VDD_CORE,340,apostrophe-v1
CORE:s3:9,CORE:interposer:9,CORE:ball:9,,false,CORE_DATA0,340,apostrophe-v1
IO:s3:1,IO:interposer:1,IO:ball:1,,false,GND,340,apostrophe-v1
IO:s3:10,IO:interposer:10,IO:ball:10,,false,IO_DATA1,340,apostrophe-v1
IO:s3:11,IO:interposer:11,IO:ball:11,,false,GND,340,apostrophe-v1
IO:s3:12,IO:interposer:12,IO:ball:12,,false,VDD_IO,340,apostrophe-v1
IO:s3:2,IO:interposer:2,IO:ball:2,,false,IO_CLK,340,apostrophe-v1
IO:s3:3,IO:interposer:3,IO:ball:3,,false,GND,340,apostrophe-v1
IO:s3:4,IO:interposer:4,IO:ball:4,,false,VDD_IO,340,apostrophe-v1
IO:s3:7,IO:interposer:7,IO:ball:7,,false,GND,340,apostrophe-v1
IO:s3:8,IO:interposer:8,IO:ball:8,,false,VDD_IO,340,apostrophe-v1
IO:s3:9,IO:interposer:9,IO:ball:9,,false,IO_DATA0,340,apostrophe-v1
